1 	        0.016 	    -2.244941 	     9.119170 	     2.880562 	    -0.025399 	     0.090334 	     0.002155 	    46.650143 	    29.550072 	    40.950142
2 	        0.032 	    -2.309822 	     9.113557 	     2.830452 	    -0.020076 	     0.068568 	    -0.006430 	    46.650154 	    29.550077 	    40.950153
3 	        0.048 	    -2.338143 	     9.087924 	     2.916573 	    -0.016779 	     0.037164 	    -0.006255 	    46.950161 	    24.450081 	    37.650082
4 	        0.064 	    -2.257943 	     9.042758 	     2.941231 	    -0.007154 	     0.016692 	    -0.002556 	    46.950161 	    24.450081 	    37.650082
5 	        0.080 	    -2.187629 	     9.059844 	     2.973335 	    -0.003485 	     0.037201 	    -0.003885 	    47.550144 	    29.550072 	    36.750072
6 	        0.096 	    -2.234078 	     9.028354 	     3.037789 	     0.000010 	     0.042749 	     0.007571 	    47.550163 	    29.550081 	    36.750080
7 	        0.112 	    -2.273689 	     9.029815 	     2.949592 	     0.001631 	     0.031567 	     0.011529 	    47.550144 	    29.550072 	    36.750072
8 	        0.128 	   -10.072529 	     0.617631 	     0.030218 	     0.006039 	    -0.169010 	     0.009749 	     9.150012 	   -19.650047 	   -14.850023
9 	        0.144 	    -9.835967 	     0.751833 	     0.065392 	     0.006081 	    -0.183915 	     0.008265 	     9.150018 	   -19.650072 	   -14.850036
10 	        0.160 	    -9.732208 	     0.723665 	     0.105738 	     0.008413 	    -0.158352 	     0.004386 	     9.150019 	   -17.250038 	   -14.250037
11 	        0.176 	    -9.485385 	     0.778460 	     0.015514 	    -0.002343 	    -0.079415 	     0.022225 	     9.150021 	   -17.250040 	   -14.250041
12 	        0.192 	    -9.231231 	     0.869051 	     0.165139 	    -0.033838 	     0.097944 	     0.033315 	    11.250036 	   -18.750036 	   -12.750036
13 	        0.208 	    -9.686067 	     0.840075 	    -0.024051 	    -0.051560 	     0.136559 	     0.018613 	    11.250038 	   -18.750038 	   -12.750038
14 	        0.224 	   -10.016635 	     0.806551 	    -0.007830 	    -0.057100 	     0.088394 	     0.009906 	    11.250040 	   -18.150042 	   -14.250041
15 	        0.240 	    -9.782504 	     0.655550 	     0.001891 	    -0.045073 	    -0.032622 	    -0.005558 	    11.250040 	   -18.150042 	   -14.250041
16 	        0.256 	    -9.699739 	     0.717730 	     0.031587 	    -0.024568 	    -0.054092 	    -0.014183 	    10.650038 	   -18.150038 	   -14.850039
17 	        0.272 	    -9.913849 	     0.675264 	     0.151246 	    -0.022705 	    -0.073458 	    -0.028585 	    10.650037 	   -18.150038 	   -14.850038
18 	        0.288 	    -9.764926 	     0.840090 	    -0.101120 	    -0.015444 	    -0.122650 	    -0.028814 	    10.650041 	   -18.150042 	   -14.850040
19 	        0.304 	    -8.910918 	     0.906603 	     0.225663 	    -0.061407 	     0.119528 	    -0.004504 	    12.750036 	   -22.050072 	   -16.350037
20 	        0.320 	    -9.230743 	     0.682192 	     0.385194 	    -0.091599 	     0.292153 	    -0.010798 	    12.750037 	   -22.050074 	   -16.350037
21 	        0.336 	    -9.859893 	     1.046787 	    -0.494279 	    -0.092299 	     0.382859 	    -0.021791 	    13.350036 	   -18.450037 	   -15.450036
22 	        0.352 	   -10.388458 	     0.477738 	    -0.212689 	    -0.084999 	     0.208115 	    -0.021482 	    13.350038 	   -18.450037 	   -15.450037
23 	        0.368 	    -9.907501 	     0.809740 	     0.190762 	    -0.087937 	    -0.021292 	     0.003825 	    11.250037 	   -18.150038 	   -13.650037
24 	        0.384 	    -9.555938 	     0.747774 	    -0.292253 	    -0.060294 	     0.053417 	    -0.042583 	    11.250036 	   -18.150036 	   -13.650036
25 	        0.400 	   -10.173369 	     0.642885 	    -0.093359 	    -0.044478 	     0.025754 	    -0.042100 	     9.150018 	   -18.750036 	   -16.350037
26 	        0.416 	    -9.872592 	     0.678683 	     0.121662 	    -0.038732 	    -0.044761 	    -0.028483 	     9.150021 	   -18.750040 	   -16.350040
27 	        0.432 	    -9.716098 	     0.656496 	     0.003789 	    -0.020867 	    -0.057221 	    -0.034937 	     9.150021 	   -18.750040 	   -16.350040
